wl,nr,ni
16,1.502,0.202
16.67,1.45,0.235
17.24,1.401,0.264
17.86,1.337,0.298
18.52,1.235,0.341
18.97,1.161,0.377
19.23,1.05,0.415
19.61,0.8857,0.524
20,0.6616,0.822
20.41,0.5777,1.28
20.83,0.7517,1.86
21.05,1.002,2.22
21.28,1.484,2.39
21.74,2.308,2.29
22.73,2.936,1.29
23.81,2.912,0.738
25,2.739,0.397
26.67,2.537,0.199
28.57,2.388,0.13
30.77,2.284,0.092
33.33,2.21,0.067
36.36,2.147,0.056
40,2.1,0.046
100,1.967,0.0159
125,1.962,0.0119
166.7,1.959,0.00862
250,1.957,0.00696
500,1.955,0.00796
